   text	   data	    bss	    dec	    hex	filename
   1561	     21	      9	   1591	  0x653	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_init/libbk_init.a

   text	   data	    bss	    dec	    hex	filename
   1788	      0	  10704	  12492	   30cc	boot_handlers_base.S.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/arm9/libarm9.a)
     64	      0	      0	     64	     40	boot_vectors_base.S.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/arm9/libarm9.a)
    483	      0	      0	    483	    1e3	stack_base.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/arm9/libarm9.a)
   1264	      0	      0	   1264	    4f0	trap_base.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/arm9/libarm9.a)
      8	      0	      0	      8	      8	arm.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/arm9/libarm9.a)
    152	      0	      8	    160	     a0	arch_interrupt.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/arm9/libarm9.a)
   1144	      0	      0	   1144	    478	boot_handlers.S.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/arm9/libarm9.a)
     33	      0	      0	     33	     21	cpu.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/arm9/libarm9.a)
   4936	      0	  10712	  15648	   0x33	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/arm9/libarm9.a

   text	   data	    bss	    dec	    hex	filename
    150	      0	      0	    150	     96	driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   5686	      0	      0	   5686	   1636	sys_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    144	      0	      0	    144	     90	dd.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    620	      0	    480	   1100	    44c	drv_model.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    174	      0	      4	    178	     b2	icu_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    973	      0	     32	   1005	    3ed	interrupt_base.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   1262	      0	     33	   1295	    50f	timer_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   2381	      0	     61	   2442	    98a	dma_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    890	      5	     37	    932	    3a4	wdt_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   3175	      0	     67	   3242	    caa	spi_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    585	      0	     32	    617	    269	spi_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   3595	      3	     32	   3630	    e2e	sys_ctrl.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    104	      0	      0	    104	     68	aon_pmu_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   2615	      0	      8	   2623	    a3f	flash.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    790	      0	     13	    803	    323	irda.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   1012	     12	     24	   1048	    418	mac_phy_bypass.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    970	      0	    168	   1138	    472	gpio_driver_base.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   4944	      0	     89	   5033	   13a9	uart_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	uart_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    224	      0	      9	    233	     e9	efuse_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
     54	      0	      0	     54	     36	rw_platf_pub.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   4017	      0	      0	   4017	    fb1	printf.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    471	      0	      8	    479	    1df	security.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    269	      0	      4	    273	    111	hal_aes.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	hal_sha.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   2363	      0	    365	   2728	    aa8	adc_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    336	      0	     16	    352	    160	adc_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   5354	      0	    145	   5499	   157b	i2c_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	i2c_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    346	      0	      4	    350	    15e	mcu_ps_timer.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   2253	      0	     49	   2302	    8fe	pwm_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    200	      0	     13	    213	     d5	trng_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   3121	     24	     29	   3174	    c66	flash_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    570	      0	      0	    570	    23a	flash_partition.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    850	      0	     29	    879	    36f	qspi_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    211	      0	      8	    219	     db	qspi_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    977	      0	      0	    977	    3d1	qspi_psram.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   1141	      0	     49	   1190	    4a6	jpeg_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	jpeg_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    460	      0	      0	    460	    1cc	audio.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    394	      0	      0	    394	    18a	ring_buffer.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   1778	      0	     40	   1818	    71a	audio_adc.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
   2073	      0	     52	   2125	    84d	audio_dac.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    272	      0	      0	    272	    110	ring_buffer_dma_read.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    286	      0	      0	    286	    11e	ring_buffer_dma_write.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	dsp.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    382	      0	      0	    382	    17e	gpio_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
    228	      0	      0	    228	     e4	interrupt.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	interrupt_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a)
  58700	     44	   1900	  60644	    0x0	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/driver/libdriver.a

   text	   data	    bss	    dec	    hex	filename
   2278	      0	     25	   2303	    8ff	event.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_event/libbk_event.a)
   2278	      0	     25	   2303	 0x2303	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_event/libbk_event.a

   text	   data	    bss	    dec	    hex	filename
    115	      0	      0	    115	     73	log.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_log/libbk_log.a)
    115	      0	      0	    115	  0x115	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_log/libbk_log.a

   text	   data	    bss	    dec	    hex	filename
    100	      0	      0	    100	     64	system_main.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_startup/libbk_startup.a)
     14	      0	      0	     14	      e	rtos_init.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_startup/libbk_startup.a)
    114	      0	      0	    114	   0x14	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/bk_startup/libbk_startup.a

   text	   data	    bss	    dec	    hex	filename
      0	      0	      0	      0	      0	croutine.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/os_source/libos_source.a)
    532	      0	      0	    532	    214	event_groups.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/os_source/libos_source.a)
    136	      0	      0	    136	     88	list.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/os_source/libos_source.a)
   1183	      4	      8	   1195	    4ab	port.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/os_source/libos_source.a)
   1502	      0	      0	   1502	    5de	queue.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/os_source/libos_source.a)
   5267	      0	     92	   5359	   14ef	tasks.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/os_source/libos_source.a)
    924	      0	     60	    984	    3d8	timers.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/os_source/libos_source.a)
   1943	      0	     44	   1987	    7c3	heap_4.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/os_source/libos_source.a)
  11487	      4	    204	  11695	 0x1987	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/os_source/libos_source.a

   text	   data	    bss	    dec	    hex	filename
    506	      0	      0	    506	    1fa	ethernetif.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
   2436	     24	    227	   2687	    a7f	net.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
    683	      0	      4	    687	    2af	sys_arch.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
    116	      0	      0	    116	     74	lwip_hooks.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
   2098	      0	      0	   2098	    832	api_lib.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
   4243	      0	      0	   4243	   1093	api_msg.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
    513	      0	      0	    513	    201	err.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
    679	      0	      0	    679	    2a7	netbuf.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
    594	      0	    293	    887	    377	netdb.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
    228	      0	      0	    228	     e4	netifapi.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
   6344	      0	    648	   6992	   1b50	sockets.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
    533	      0	     12	    545	    221	tcpip.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
      0	      0	      0	      0	      0	mdns.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7251/armino/lwip_intf_v2_0/liblwip_intf_v2_0.a)
