   text	   code	 rodata	   data	    bss	    dec	    hex	filename
      0	      0	      0	      0	      0	      0	      0	wdt_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
    348	    204	    144	      0	      0	    348	    15c	trng_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	trng_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
    778	    434	    344	      0	      0	    778	    30a	efuse_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	efuse_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   1890	   1030	    860	      0	      0	   1890	    762	adc_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	adc_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   3194	   1644	   1550	      0	      0	   3194	    c7a	spi_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	spi_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   1011	    534	    477	      0	      0	   1011	    3f3	aon_rtc_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	aon_rtc_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   6286	   6102	    184	      0	      8	   6294	   1896	sys_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
    492	    412	     80	      0	      0	    492	    1ec	aon_pmu_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   2398	   1314	   1084	      0	      0	   2398	    95e	i2c_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	i2c_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   3835	   2070	   1765	      0	      0	   3835	    efb	jpeg_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
    204	     76	    128	      0	      0	    204	     cc	jpeg_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   1674	    928	    746	      0	      0	   1674	    68a	fft_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   3211	   1682	   1529	      0	      0	   3211	    c8b	lcd_disp_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	lcd_disp_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
    468	    468	      0	      0	      0	    468	    1d4	lcd_disp_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   4451	   2436	   2015	      0	      0	   4451	   1163	i2s_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
   2030	   1132	    898	      0	      0	   2030	    7ee	flash_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	flash_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	vault_hal_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
      0	      0	      0	      0	      0	      0	      0	vault_ll.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a)
  54355	  33258	  21097	      0	      8	  54363	    0x0	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk7235/libbk7235.a

   text	   code	 rodata	   data	    bss	    dec	    hex	filename
    446	    446	      0	      0	      0	    446	    1be	pwm_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    650	    650	      0	      0	      0	    650	    28a	timer_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    497	    482	     15	      0	      0	    497	    1f1	dma_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
     10	     10	      0	      0	      0	     10	      a	icu_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
     72	     72	      0	      0	      0	     72	     48	wdt_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    844	    656	    188	      0	      0	    844	    34c	spi_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    592	    592	      0	      0	      0	    592	    250	i2c_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
   3811	   2226	   1585	      0	      4	   3815	    ee7	gpio_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    488	    476	     12	      0	      0	    488	    1e8	uart_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    356	    356	      0	      0	      0	    356	    164	adc_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    172	    172	      0	      0	      0	    172	     ac	flash_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    400	    340	     60	      0	      0	    400	    190	efuse_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
     42	     42	      0	      0	      0	     42	     2a	trng_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    344	    344	      0	      0	      0	    344	    158	jpeg_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
     70	     70	      0	      0	      0	     70	     46	psram_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
    686	    686	      0	      0	      0	    686	    2ae	aon_rtc_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
     86	     86	      0	      0	      0	     86	     56	vault_hal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a)
   9566	   7706	   1860	      0	      4	   9570	   0x86	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/common/libcommon.a

   text	   code	 rodata	   data	    bss	    dec	    hex	filename
     16	     16	      0	      0	      0	     16	     10	boot_handlers_base.S.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
    158	    158	      0	      0	      0	    158	     9e	riscv_utility.S.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
    616	    414	    202	      0	      0	    616	    268	stack_base.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
   2226	   1216	   1010	      0	      4	   2230	    8b6	trap_base.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
    754	    660	     94	      0	    262	   1016	    3f8	arch_interrupt.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
    112	    112	      0	      0	      0	    112	     70	reset.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
    256	    256	      0	      0	      0	    256	    100	ae350.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
   1340	   1002	    338	      0	      0	   1340	    53c	pmp.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
    150	    150	      0	      0	      0	    150	     96	initfini.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
      2	      2	      0	      0	      0	      2	      2	riscv.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
     47	     34	     13	      0	      0	     47	     2f	cpu.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
    280	    280	      0	      0	      0	    280	    118	boot_vectors_base.S.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a)
   5957	   4300	   1657	      0	    266	   6223	  0x280	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/riscv/libriscv.a

   text	   code	 rodata	   data	    bss	    dec	    hex	filename
   3232	   3192	     40	      4	   4313	   7549	   1d7d	rtos_pub.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_rtos/libbk_rtos.a)
   1327	    732	    595	      0	      0	   1327	    52f	rtos_debug.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_rtos/libbk_rtos.a)
    468	    376	     92	      0	      0	    468	    1d4	mem_arch.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_rtos/libbk_rtos.a)
    591	    382	    209	      0	      0	    591	    24f	platform_stub.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_rtos/libbk_rtos.a)
    288	    278	     10	      0	      0	    288	    120	str_arch.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_rtos/libbk_rtos.a)
    456	    456	      0	      0	      4	    460	    1cc	FreeRTOS_tick_config.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_rtos/libbk_rtos.a)
    499	    376	    123	      0	      4	    503	    1f7	main_blinky.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_rtos/libbk_rtos.a)
   6861	   5792	   1069	      4	   4321	  11186	  0x503	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_rtos/libbk_rtos.a

   text	   code	 rodata	   data	    bss	    dec	    hex	filename
    114	    114	      0	      0	      1	    115	     73	ate.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_ate/libbk_ate.a)
    114	    114	      0	      0	      1	    115	  0x115	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_ate/libbk_ate.a

   text	   code	 rodata	   data	    bss	    dec	    hex	filename
    882	    778	    104	      0	      0	    882	    372	base_64.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/base64/libbase64.a)
    882	    778	    104	      0	      0	    882	  0x882	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/base64/libbase64.a

   text	   code	 rodata	   data	    bss	    dec	    hex	filename
      0	      0	      0	      0	      0	      0	      0	bk_ef.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/easy_flash/libeasy_flash.a)
    267	    110	    157	      0	      0	    267	    10b	easyflash.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/easy_flash/libeasy_flash.a)
   3397	   2510	    887	      0	   1046	   4443	   115b	ef_env.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/easy_flash/libeasy_flash.a)
      0	      0	      0	      0	      0	      0	      0	ef_env_wl.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/easy_flash/libeasy_flash.a)
      0	      0	      0	      0	      0	      0	      0	ef_iap.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/easy_flash/libeasy_flash.a)
      0	      0	      0	      0	      0	      0	      0	ef_log.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/easy_flash/libeasy_flash.a)
   1070	     46	   1024	      0	      0	   1070	    42e	ef_utils.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/easy_flash/libeasy_flash.a)
    597	    548	     49	      0	      4	    601	    259	ef_port.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/easy_flash/libeasy_flash.a)
   5331	   3214	   2117	      0	   1050	   6381	  0x601	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/easy_flash/libeasy_flash.a

   text	   code	 rodata	   data	    bss	    dec	    hex	filename
    774	    570	    204	     21	      0	    795	    31b	legacy_init.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_init/libbk_init.a)
    951	    674	    277	      0	     12	    963	    3c3	components_init.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_init/libbk_init.a)
    233	    154	     79	      0	      0	    233	     e9	reset_reason.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_init/libbk_init.a)
   1958	   1398	    560	     21	     12	   1991	  0x233	/home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/bk_init/libbk_init.a

   text	   code	 rodata	   data	    bss	    dec	    hex	filename
    686	    648	     38	      0	      0	    686	    2ae	driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
  11198	  11198	      0	      0	      0	  11198	   2bbe	sys_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
     40	     40	      0	      0	      0	     40	     28	dd.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    804	    804	      0	      0	    460	   1264	    4f0	drv_model.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    713	    444	    269	      0	      4	    717	    2cd	icu_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    666	    162	    504	      0	      0	    666	    29a	interrupt_base.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   1715	   1618	     97	      0	     33	   1748	    6d4	timer_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   2672	   2624	     48	      0	     61	   2733	    aad	dma_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   1139	    950	    189	      5	     37	   1181	    49d	wdt_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   7024	   6266	    758	      0	    145	   7169	   1c01	spi_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    821	    392	    429	      0	     64	    885	    375	spi_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	      0	      0	sys_ctrl.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    112	    112	      0	      0	      0	    112	     70	aon_pmu_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   3286	   2546	    740	      0	      8	   3294	    cde	flash.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   1161	    962	    199	      0	     13	   1174	    496	irda.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   1529	   1284	    245	      0	      4	   1533	    5fd	mac_phy_bypass.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   1286	   1200	     86	      0	    200	   1486	    5ce	gpio_driver_base.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   7209	   6720	    489	      0	    129	   7338	   1caa	uart_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	      0	      0	uart_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    294	    294	      0	      0	      9	    303	    12f	efuse_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
     90	     90	      0	      0	      0	     90	     5a	rw_platf_pub.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   4582	   4128	    454	      0	      0	   4582	   11e6	printf.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	      0	      0	security.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	      0	      0	hal_aes.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	      0	      0	hal_sha.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   3532	   3158	    374	      0	    485	   4017	    fb1	adc_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    473	    244	    229	      0	     16	    489	    1e9	adc_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   6686	   5816	    870	      0	    169	   6855	   1ac7	i2c_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	      0	      0	i2c_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    602	    602	      0	      0	      4	    606	    25e	mcu_ps_timer.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   3769	   3598	    171	      0	     49	   3818	    eea	pwm_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    466	    466	      0	      0	      0	    466	    1d2	flash_bypass.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    276	    276	      0	      0	     13	    289	    121	trng_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   3936	   3090	    846	     24	     29	   3989	    f95	flash_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    764	    428	    336	      0	      0	    764	    2fc	flash_partition.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   1836	   1672	    164	      0	     49	   1885	    75d	jpeg_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	      0	      0	jpeg_statis.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    402	    402	      0	      0	      1	    403	    193	psram_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    724	    724	      0	      0	     36	    760	    2f8	aon_rtc_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   1368	   1258	    110	      0	    128	   1496	    5d8	touch_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	      0	      0	dsp.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
     80	     80	      0	      0	      0	     80	     50	mailbox_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
     64	     64	      0	      0	      0	     64	     40	vault_driver.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    430	    346	     84	      0	      0	    430	    1ae	log.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    184	    184	      0	      0	      0	    184	     b8	eip130_token_common.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   1494	   1494	      0	      0	      0	   1494	    5d6	eip130.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
      0	      0	      0	      0	      0	      0	      0	adapter_global_eip130.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   2938	   1642	   1296	      0	      0	   2938	    b7a	dmares_gen.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   3469	   2492	    977	      0	     36	   3505	    db1	hwpal_dmares_bk.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   1566	   1122	    444	     20	     12	   1598	    63e	hwpal_device_bk.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
   3333	   2346	    987	      0	      0	   3333	    d05	device_generic.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    118	    114	      4	      0	      0	    118	     76	adapter_lock_internal.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
    938	    938	      0	      0	    589	   1527	    5f7	adapter_bufmanager.c.obj (ex /home/jenkins/workspace/Armino_SDK_Push/armino/build/legacy_app/bk7235/armino/driver/libdriver.a)
